YEAR,DOY,CO2
1958,074,314.89
1958,105,314.97
1958,135,315.05
1958,166,315.14
1958,196,315.22
1958,227,315.29
1958,258,315.35
1958,288,315.41
1958,319,315.46
1958,349,315.51
1959,015,315.57
1959,045,315.63
1959,074,315.68
1959,105,315.76
1959,135,315.83
1959,166,315.92
1959,196,316.02
1959,227,316.11
1959,258,316.21
1959,288,316.30
1959,319,316.39
1959,349,316.48
1960,015,316.56
1960,045,316.64
1960,075,316.72
1960,106,316.80
1960,136,316.87
1960,167,316.94
1960,197,316.98
1960,228,317.02
1960,259,317.04
1960,289,317.07
1960,320,317.10
1960,350,317.13
1961,015,317.18
1961,045,317.25
1961,074,317.32
1961,105,317.40
1961,135,317.49
1961,166,317.58
1961,196,317.67
1961,227,317.76
1961,258,317.85
1961,288,317.92
1961,319,318.00
1961,349,318.06
1962,015,318.13
1962,045,318.20
1962,074,318.26
1962,105,318.32
1962,135,318.39
1962,166,318.45
1962,196,318.51
1962,227,318.56
1962,258,318.60
1962,288,318.64
1962,319,318.68
1962,349,318.71
1963,015,318.76
1963,045,318.80
1963,074,318.85
1963,105,318.90
1963,135,318.96
1963,166,319.01
1963,196,319.05
1963,227,319.09
1963,258,319.13
1963,288,319.18
1963,319,319.22
1963,349,319.27
1964,015,319.32
1964,045,319.37
1964,075,319.41
1964,106,319.46
1964,136,319.50
1964,167,319.53
1964,197,319.56
1964,228,319.59
1964,259,319.61
1964,289,319.62
1964,320,319.63
1964,350,319.65
1965,015,319.67
1965,045,319.71
1965,074,319.75
1965,105,319.81
1965,135,319.89
1965,166,319.98
1965,196,320.08
1965,227,320.20
1965,258,320.31
1965,288,320.43
1965,319,320.55
1965,349,320.67
1966,015,320.79
1966,045,320.91
1966,074,321.02
1966,105,321.13
1966,135,321.24
1966,166,321.33
1966,196,321.41
1966,227,321.49
1966,258,321.56
1966,288,321.62
1966,319,321.69
1966,349,321.75
1967,015,321.80
1967,045,321.85
1967,074,321.90
1967,105,321.95
1967,135,322.01
1967,166,322.06
1967,196,322.12
1967,227,322.19
1967,258,322.27
1967,288,322.34
1967,319,322.42
1967,349,322.49
1968,015,322.57
1968,045,322.65
1968,075,322.73
1968,106,322.82
1968,136,322.91
1968,167,323.02
1968,197,323.13
1968,228,323.24
1968,259,323.36
1968,289,323.48
1968,320,323.61
1968,350,323.74
1969,015,323.88
