"UnitID","CELL5M","FPU","AEZ","X","Y","SoilProfileID","SoilProfile","SoilRootingDepth","Season","Crops","PlantingMonths","Areas"
"1","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0001","*HC_GEN0001  IFPRI       C       180 HarvestChoice HC27, Clay HF180
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Deep (HF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  1.40 60.00 25.00 -99.0  0.12  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.87 60.00 25.00 -99.0  0.07  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.69 60.00 25.00 -99.0  0.06  6.50 -99.0 -99.0 -99.0
    90     B 0.290 0.420 0.470  0.22  0.50  1.20  0.63 60.00 25.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
   120   BC1 0.320 0.425 0.475  0.12  0.40  1.20  0.60 60.00 25.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
   150   BC2 0.360 0.430 0.480  0.08  0.30  1.20  0.53 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
   180     C 0.400 0.430 0.480  0.03  0.20  1.20  0.30 60.00 25.00 -99.0  0.03  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    90 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   120 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   150 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   180 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"2","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0002","*HC_GEN0002  IFPRI       C       120 HarvestChoice HC27, Clay HF120
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Medm (HF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  1.40 60.00 25.00 -99.0  0.12  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.87 60.00 25.00 -99.0  0.07  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.69 60.00 25.00 -99.0  0.06  6.50 -99.0 -99.0 -99.0
    90     B 0.290 0.420 0.470  0.22  0.50  1.20  0.63 60.00 25.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
   120   BC1 0.320 0.425 0.475  0.12  0.40  1.20  0.60 60.00 25.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    90 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   120 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"3","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0003","*HC_GEN0003  IFPRI       C       060 HarvestChoice HC27, Clay HF060
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Shal (HF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  1.40 60.00 25.00 -99.0  0.12  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.87 60.00 25.00 -99.0  0.07  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.69 60.00 25.00 -99.0  0.06  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"4","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0004","*HC_GEN0004  IFPRI       C       180 HarvestChoice HC27, Clay MF180
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Deep (MF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  1.00 60.00 25.00 -99.0  0.08  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.62 60.00 25.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.49 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
    90     B 0.290 0.420 0.470  0.22  0.50  1.20  0.45 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
   120   BC1 0.320 0.425 0.475  0.12  0.40  1.20  0.43 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
   150   BC2 0.360 0.430 0.480  0.08  0.30  1.20  0.38 60.00 25.00 -99.0  0.03  6.50 -99.0 -99.0 -99.0
   180     C 0.400 0.430 0.480  0.03  0.20  1.20  0.21 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    90 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   120 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   150 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   180 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"5","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0005","*HC_GEN0005  IFPRI       C       120 HarvestChoice HC27, Clay MF120
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Medm (MF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  1.00 60.00 25.00 -99.0  0.08  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.62 60.00 25.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.49 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
    90     B 0.290 0.420 0.470  0.22  0.50  1.20  0.45 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
   120   BC1 0.320 0.425 0.475  0.12  0.40  1.20  0.43 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    90 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   120 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"6","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0006","*HC_GEN0006  IFPRI       C       060 HarvestChoice HC27, Clay MF060
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Shal (MF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  1.00 60.00 25.00 -99.0  0.08  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.62 60.00 25.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.49 60.00 25.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"77","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0007","*HC_GEN0007  IFPRI       C       180 HarvestChoice HC27, Clay LF180
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Deep (LF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  0.40 60.00 25.00 -99.0  0.03  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.25 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.20 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
    90     B 0.290 0.420 0.470  0.22  0.50  1.20  0.18 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
   120   BC1 0.320 0.425 0.475  0.12  0.40  1.20  0.17 60.00 25.00 -99.0  0.01  6.50 -99.0 -99.0 -99.0
   150   BC2 0.360 0.430 0.480  0.08  0.30  1.20  0.15 60.00 25.00 -99.0  0.01  6.50 -99.0 -99.0 -99.0
   180     C 0.400 0.430 0.480  0.03  0.20  1.20  0.09 60.00 25.00 -99.0  0.01  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    90 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   120 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   150 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   180 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"8","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0008","*HC_GEN0008  IFPRI       C       120 HarvestChoice HC27, Clay LF120
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Medm (LF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  0.40 60.00 25.00 -99.0  0.03  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.25 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.20 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
    90     B 0.290 0.420 0.470  0.22  0.50  1.20  0.18 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
   120   BC1 0.320 0.425 0.475  0.12  0.40  1.20  0.17 60.00 25.00 -99.0  0.01  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    90 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   120 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"9","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0009","*HC_GEN0009  IFPRI       C       060 HarvestChoice HC27, Clay LF060
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Clay Shal (LF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.05  8.00  0.20 85.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.210 0.390 0.440  1.00  1.00  1.20  0.40 60.00 25.00 -99.0  0.03  6.50 -99.0 -99.0 -99.0
    30    AB 0.230 0.410 0.467  0.65  0.80  1.20  0.25 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
    60    BA 0.260 0.415 0.467  0.38  0.60  1.20  0.20 60.00 25.00 -99.0  0.02  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
"10","3907894","NLL_ETH","HML","37.875","14.625","HC_GEN0010","*HC_GEN0010  IFPRI       L       180 HarvestChoice HC27, Loam HF180
@SITE        COUNTRY          LAT     LONG SCS Family
 -99         Generic      -00.000  -00.000 Loam Deep (HF)
@ SCOM  SALB  SLU1  SLDR  SLRO  SLNF  SLPF  SMHB  SMPX  SMKE
    BK  0.10  6.00  0.50 75.00  1.00  1.00 SA001 SA001 SA001
@  SLB  SLMH  SLLL  SDUL  SSAT  SRGF  SSKS  SBDM  SLOC  SLCL  SLSI  SLCF  SLNI  SLHW  SLHB  SCEC  SADC
    10     A 0.170 0.301 0.400  1.00  4.00  1.40  1.40 30.00 45.00 -99.0  0.12  6.50 -99.0 -99.0 -99.0
    30    AB 0.180 0.310 0.410  0.70  1.80  1.40  0.87 30.00 45.00 -99.0  0.07  6.50 -99.0 -99.0 -99.0
    60    BA 0.190 0.310 0.420  0.50  1.60  1.40  0.69 30.00 45.00 -99.0  0.06  6.50 -99.0 -99.0 -99.0
    90     B 0.215 0.315 0.430  0.40  1.50  1.40  0.63 30.00 45.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
   120   BC1 0.250 0.317 0.440  0.30  1.40  1.40  0.60 30.00 45.00 -99.0  0.05  6.50 -99.0 -99.0 -99.0
   150   BC2 0.270 0.320 0.440  0.30  1.30  1.40  0.53 30.00 45.00 -99.0  0.04  6.50 -99.0 -99.0 -99.0
   180     C 0.290 0.325 0.440  0.10  1.20  1.40  0.30 30.00 45.00 -99.0  0.03  6.50 -99.0 -99.0 -99.0
@  SLB  SLPX  SLPT  SLPO CACO3  SLAL  SLFE  SLMN  SLBS  SLPA  SLPB  SLKE  SLMG  SLNA  SLSU  SLEC  SLCA
    10 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    30 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    60 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
    90 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   120 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   150 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
   180 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0 -99.0
","93","MEHE","MZ","5","2192.600098"
